City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Tabas,33.5959,56.9244,71.44,24,0,2.01,clear sky
150,Port Hedland,-20.3167,118.5667,80.65,61,75,13.8,broken clouds
151,Khani,41.9563,42.9566,49.57,62,3,6.46,clear sky
152,Buraydah,26.326,43.975,66.65,18,0,4.92,clear sky
153,Jacareacanga,-6.2222,-57.7528,76.06,79,97,1.5,overcast clouds
154,Itigi,-5.7,34.4833,61.9,77,55,8.75,broken clouds
155,Urucara,-2.5364,-57.76,73.92,91,68,2.62,broken clouds
156,Mecca,21.4267,39.8261,80.13,61,0,0.69,clear sky
157,Georgetown,5.4112,100.3354,84.13,77,20,4.61,few clouds
158,Teluk Nibung,3.001,99.8164,79.09,88,100,6.58,overcast clouds
159,Margate,51.3813,1.3862,56.89,87,100,3.0,overcast clouds
160,Englewood,39.6478,-104.9878,62.24,76,75,4.61,broken clouds
161,Vila,42.0304,-8.1588,47.28,83,100,2.95,overcast clouds
162,Taksimo,56.3444,114.8794,30.63,49,100,11.43,overcast clouds
163,College,64.8569,-147.8028,49.59,73,75,5.75,broken clouds
164,Nouadhibou,20.931,-17.0347,69.78,78,0,16.11,clear sky
165,Saldanha,-33.0117,17.9442,48.25,77,49,3.04,scattered clouds
166,Khatanga,71.9667,102.5,21.69,96,100,11.05,overcast clouds
167,Sioux Lookout,50.1001,-91.917,46.47,76,100,3.44,overcast clouds
168,San Lazaro,18.0387,-88.6622,73.4,81,84,3.85,broken clouds
169,Plettenberg Bay,-34.0527,23.3716,56.97,85,25,3.53,scattered clouds
170,Nanortalik,60.1432,-45.2371,39.72,78,100,1.03,overcast clouds
171,Sao Felix Do Xingu,-6.6447,-51.995,76.73,64,95,1.83,overcast clouds
172,Westport,41.1415,-73.3579,60.75,72,100,11.5,overcast clouds
173,Maningrida,-12.0667,134.2667,91.13,32,20,8.14,few clouds
174,Dwarka,22.2394,68.9678,80.78,68,0,10.07,clear sky
175,Port Elizabeth,-33.918,25.5701,54.32,97,0,3.44,clear sky
176,Rabo De Peixe,37.8,-25.5833,72.28,78,75,10.36,broken clouds
177,Plouzane,48.3833,-4.6167,62.78,97,100,16.11,mist
178,Waiuku,-37.25,174.75,63.7,90,100,2.26,overcast clouds
179,Vulcan,45.3833,23.2667,50.74,95,58,8.37,light rain
180,Leshukonskoye,64.8989,45.7622,37.96,96,89,3.98,overcast clouds
181,Boden,65.8252,21.6886,48.2,99,100,3.67,overcast clouds
182,Katsuura,35.1333,140.3,77.2,57,66,11.43,broken clouds
183,Bodden Town,19.2833,-81.25,82.4,77,20,4.61,few clouds
184,Tongchuan,35.0806,109.0897,70.59,77,19,3.29,few clouds
185,Vila Praia De Ancora,41.811,-8.8526,59.11,87,86,6.11,overcast clouds
186,Padang,-0.9492,100.3543,75.25,95,100,5.77,overcast clouds
187,Pacanga,-7.1667,-79.5,62.37,82,41,8.39,scattered clouds
188,Karratha,-20.7377,116.8463,81.88,39,0,7.72,clear sky
189,Broome,42.2506,-75.833,58.66,73,100,10.36,overcast clouds
190,Laguna,38.421,-121.4238,79.45,64,0,11.5,clear sky
191,Tabuk,17.4189,121.4443,82.99,72,100,2.13,moderate rain
192,Sola,-13.8833,167.55,80.58,73,4,8.7,clear sky
193,Tautira,-17.7333,-149.15,77.59,71,67,8.1,broken clouds
194,Cartagena,10.3997,-75.5144,80.22,83,20,4.61,few clouds
195,Bataipora,-22.2953,-53.2711,66.34,91,0,4.09,clear sky
196,Ukiah,39.1502,-123.2078,73.65,56,0,6.91,clear sky
197,Longido,-2.7333,36.6833,62.76,81,84,5.21,broken clouds
198,Uige,-7.6087,15.0613,67.32,96,90,2.13,overcast clouds
199,Hofn,64.2539,-15.2082,46.78,87,100,6.73,overcast clouds
200,Sorland,67.667,12.6934,49.86,73,94,10.0,overcast clouds
201,Makakilo City,21.3469,-158.0858,86.32,61,100,12.66,overcast clouds
202,Amapa,1.0,-52.0,75.87,73,6,4.7,clear sky
203,Tessalit,20.1986,1.0114,80.1,52,87,7.67,overcast clouds
204,Nowy Tomysl,52.3195,16.1284,53.85,78,100,15.55,overcast clouds
205,Payakumbuh,-0.2202,100.6308,71.06,97,100,0.92,heavy intensity rain
206,Florianopolis,-27.6146,-48.5012,63.63,82,75,9.22,broken clouds
207,Nantucket,41.2835,-70.0995,62.71,98,100,23.02,light rain
208,Khasan,42.4308,130.6434,62.22,89,100,12.44,moderate rain
209,Ruteng,-8.6136,120.4721,75.81,61,91,1.43,overcast clouds
210,Waingapu,-9.6567,120.2641,85.82,62,81,5.86,broken clouds
211,Isangel,-19.55,169.2667,81.5,71,98,1.14,overcast clouds
212,Beloha,-25.1667,45.05,66.0,75,0,3.15,clear sky
213,Puerto Ayora,-0.7393,-90.3518,64.54,97,99,5.99,overcast clouds
214,Sitka,57.0531,-135.33,55.29,67,40,10.36,scattered clouds
215,Szekkutas,46.5,20.5333,52.0,78,76,13.65,broken clouds
216,Vitorino Freire,-4.0667,-45.1667,78.31,73,51,5.91,broken clouds
217,Cochrane,51.1834,-114.4687,61.61,54,0,11.5,clear sky
218,East London,-33.0153,27.9116,63.43,82,44,5.82,scattered clouds
219,Nhulunbuy,-12.2333,136.7667,86.61,51,75,11.5,broken clouds
220,Sovetskiy,61.3614,63.5842,29.26,86,100,8.23,overcast clouds
221,Paita,-5.0892,-81.1144,63.55,85,5,15.28,clear sky
222,Lompoc,34.6391,-120.4579,66.34,84,0,5.75,clear sky
223,Riyadh,24.6877,46.7219,69.94,20,0,2.24,clear sky
224,Serenje,-13.2325,30.2352,57.65,53,0,3.36,clear sky
225,Sao Joao Da Barra,-21.6403,-41.0511,69.3,84,77,10.54,broken clouds
226,Kargil,34.5667,76.1,44.19,49,92,4.7,overcast clouds
227,San Patricio,28.017,-97.5169,78.84,50,0,7.96,clear sky
228,Port Augusta,-32.5,137.7667,75.76,26,100,4.09,overcast clouds
229,Beawar,26.1,74.3167,73.71,66,0,10.76,clear sky
230,Kaeo,-35.1,173.7833,63.93,81,25,12.33,scattered clouds
231,Shellbrook,53.2168,-106.4011,56.43,56,6,7.63,clear sky
232,Pisco,-13.7,-76.2167,60.03,88,0,12.66,clear sky
233,Cascais,38.6979,-9.4215,70.5,85,6,15.99,clear sky
234,Hovd,48.0056,91.6419,24.03,38,13,2.3,few clouds
235,Qaqortoq,60.7167,-46.0333,38.75,82,100,5.23,overcast clouds
236,Kawalu,-7.3817,108.2082,75.85,91,96,1.48,overcast clouds
237,Auki,-8.7676,160.7034,82.29,75,50,3.13,scattered clouds
